2025-07-22 03:37:51 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported AAPL train to data/processed/train/AAPL.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported AAPL test to data/processed/test/AAPL.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported GOOGL train to data/processed/train/GOOGL.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported GOOGL test to data/processed/test/GOOGL.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported MSFT train to data/processed/train/MSFT.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported MSFT test to data/processed/test/MSFT.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported NVDA train to data/processed/train/NVDA.csv
2025-07-22 03:37:51 | __main__ | INFO | Exported NVDA test to data/processed/test/NVDA.csv
2025-07-22 03:37:52 | __main__ | INFO | Exported AMZN train to data/processed/train/AMZN.csv
2025-07-22 03:37:52 | __main__ | INFO | Exported AMZN test to data/processed/test/AMZN.csv
2025-07-22 03:37:52 | __main__ | INFO | Exported META train to data/processed/train/META.csv
2025-07-22 03:37:52 | __main__ | INFO | Exported META test to data/processed/test/META.csv
2025-07-22 03:37:52 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 04:04:50 | __main__ | INFO | Starting data preparation flow...
2025-07-22 04:04:50 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 04:04:54 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 04:04:54 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 04:04:54 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 04:04:54 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 04:04:54 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 04:04:54 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 04:07:56 | __main__ | INFO | Starting data preparation flow...
